sentence,expected
¿Has visto la película que te recomendé?,B1
Me gustaría que me lo explicaras con detalle.,B1
He visitado a mis abuelos este fin de semana.,B1
"Estoy de acuerdo, pero no entiendo todo.",B1
"Antes no comía pescado, pero ahora me gusta.",B1
El fin de semana pasado fui al campo.,B1
Creo que mañana hará sol.,B1
Me gustaría vivir en otro país.,B1
Es la primera vez que visito Madrid.,B1
Me duele la cabeza desde ayer.,B1
Me gustaría que me ayudaras mañana.,B1
El fin de semana pasado fui al campo.,B1
Creo que mañana hará sol.,B1
Me gustaría vivir en otro país.,B1
Es la primera vez que visito Madrid.,B1
Me duele la cabeza desde ayer.,B1
Me gustaría que me ayudaras mañana.,B1
Estoy a punto de salir; voy a llegar tarde.,B1