sentence,expected,corrected_label,comment (if changed)
Temo que no haya tiempo suficiente.,B1,B1,
"Pensaba ir al cine, pero al final me quedé en casa.",B1,B1,
Me parece bien que cambiemos el plan.,B1,B1,
Fue entonces cuando entendí lo que pasaba.,B1,B1,
"Quiérase o no, el problema persiste.",C1,C1,Real C1 (archaic subjunctive inversion)
"Cuando llego, te llamo porque no tengo tiempo.",A2,A2,
Esta tarde he quedado con unos amigos.,A2,A2,
Quiero que vengas a mi fiesta.,B1,B1,
Espero que no llueva mañana.,B1,B1,
"Cuando era pequeño, jugaba en el patio con mis primos.",B1,B1,
"De niño, siempre leía cuentos antes de dormir.",B1,B1,
El año pasado viajé a Perú y fue inolvidable.,B1,B1,
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1,B1,
Estoy a punto de salir; voy a llegar tarde.,B1,B1,
Me gustaría que me ayudaras con este proyecto.,B1,B1,
Es importante que estudies para el examen.,B1,B1,
Busco un piso que sea tranquilo y luminoso.,B1,B1,
Quiero que sepas que te apoyo.,B1,B1,
Temo que no haya tiempo suficiente.,B1,B1,
Me alegra que estés aquí.,B1,B1,
Es mejor que cojas el tren.,B1,B1,
Tal vez llegue más tarde; no estoy seguro.,B1,B1,
"Pensaba ir al cine, pero al final me quedé en casa.",B1,B1,
¿Has visto la película que te recomendé?,B1,B1,
Me parece bien que cambiemos el plan.,B1,B1,
Fue entonces cuando entendí lo que pasaba.,B1,B1,
"Si tuviera tiempo, viajaría por el mundo.",B2,B2,
"Quería que vinieras, aunque fuera difícil.",B2,B2,
"Aunque llueva, iremos al concierto.",B2,B2,
Me gustaría que me lo explicaras con detalle.,B1,B1,
Dudaba que ellos supieran la respuesta.,B2,B2,
Era necesario que actuáramos con prudencia.,B2,B2,
"Si hubieras venido, habríamos terminado antes.",B2,B2,
Me molestó que hablaran tan alto en la reunión.,B2,B2,
"Sin embargo, no comparto esa opinión.",B2,B2,
"Por lo tanto, deberíamos reconsiderar la propuesta.",B2,B2,
"Además, hay que tener en cuenta los costos.",B2,B2,
"Aun cuando parecía fácil, resultó complejo.",B2,B2,
Es probable que lleguen más tarde de lo previsto.,B2,B2,
Buscaba a alguien que tuviera experiencia.,B2,B2,
No creo que sea necesario cambiar todo.,B2,B2,
Me sorprendió que lo hicieran sin avisar.,B2,B2,
"De tal palo, tal astilla.",B2,B2,
"A buen entendedor, pocas palabras bastan.",C1,B2,Classic proverb known at B2
"Quien mal anda, mal acaba.",B2,B2,
"Por más que le insistiera, no aceptó.",B2,B2,
"Apenas hube terminado, salí corriendo.",C1,B2,"Apenas + pluscuamperfecto" is high B2
"Cuando hube leído la carta, entendí la situación.",C1,B2,Same as above – taught at B2
"Para entonces, se habrá resuelto el conflicto.",B2,B2,
"Para mañana, ya habré terminado el informe.",B2,B2,
"Si hubieras sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1,B2,Complex but still B2 discourse
"No hay mal que por bien no venga; a la postre, aprendimos mucho.",C1,B2,Proverbs + "a la postre" = high B2
"De haberlo sabido, habría actuado de otra manera.",C1,B2,Standard type-3 inversion – core B2
Ojalá hubiera podido acompañarte ayer.,B2,B2,
Quisiera que te hubieras quedado un poco más.,B2,B2,
Puede que para entonces ya lo hayamos decidido.,B2,B2,
"A poco que te esfuerces, lo habrás conseguido.",B2,B2,
"Sea como fuere, conviene mantener la calma.",C1,C1,Real C1 fixed expression
"Comoquiera que se mire, no deja de ser paradójico.",C1,C1,Real C1
"Por mucho que dijeran, no habría cambiado de opinión.",C1,B2,Classic B2 concession
"Ni que lo hubieras hecho tú, habría salido mejor.",C1,B2,Very common B2
Habíamos pensado que se habría resuelto antes.,C1,B2,Pluscuamperfecto + condicional perfecto = B2
"Si para entonces hubiere terminado, me avisará.",C1,B2,Future perfect subj. = high B2
"Quien hubiera querido participar, habría podido hacerlo.",C1,B2,Standard type-3
"En caso de que hubieras llegado a tiempo, te habrías reunido con ellos.",B2,B2,
"A fuer de sincero, no me convenció la propuesta.",C1,C1,Archaic "a fuer de" = genuine C1
"Estoy echando de menos a mi familia; sin embargo, sigo trabajando.",B2,B2,
"Que venga quien quiera; los demás, que esperen fuera.",B2,B2,
"Si bien es cierto, no podemos ignorar los riesgos.",C1,B2,"Si bien" is high B2
"Con todo, aceptamos las condiciones.",C1,B2,High B2 connector
Es de esperar que mejoren los resultados.,B2,B2,
Me tranquiliza que hayan confirmado la fecha.,B2,B2,
"En cuanto termine, te llamo; mientras tanto, revisa el documento.",B2,B2,
"Aun así, mantuvieron la decisión.",B2,B2,
"Por ende, reduciremos el presupuesto.",C1,B2,"Por ende" is formal B2
"Así las cosas, será complicado avanzar.",C1,C1,Real C1 discourse marker
Me temo que no lleguemos a tiempo.,B1,B1,
Es menester que cumplamos el plazo.,C1,C1,Genuine C1 (archaic)
"Para que no te pierdas, te haré un mapa.",B2,B2,
"Sin que nadie lo advirtiera, cambió de plan.",B2,B2,
"De no ser por ti, todo habría salido mal.",B2,B2,
"Si supiera la respuesta, te la diría.",B2,B2,
"Cuando hubiste acabado, nos fuimos a casa.",C1,B2,Plusquamperfecto is B2
"Si para entonces hubiere llegado, le notificaremos.",C1,B2,Future perfect subj. = B2
"Tan pronto como hubieron salido, empezó la lluvia.",C1,B2,Temporal clause – B2
"Quien no hubiera estudiado, habría suspendido.",C1,B2,Standard type-3
"Habrá sido una decisión difícil, pero acertada.",B2,B2,
"Para cuando te des cuenta, ya se habrá solucionado.",B2,B2,
"Si hubiera llovido, habríamos cancelado la excursión.",B2,B2,
"De no haber mediado el acuerdo, se habría roto la negociación.",C1,C1,Real C1 (formal + inversion)
"Sea cual fuere el resultado, seguiremos adelante.",C1,C1,Real C1
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1,B2,"En caso de que" + future perf. subj. = high B2
"A la sazón, nadie sospechaba lo ocurrido.",C1,C1,Archaic synonym of "entonces" = C1
"Con todo y con eso, resultó ser lo mejor.",C1,B2,High B2 colloquial
"Antes que nada, permítanme agradecer su presencia.",C1,B2,Formal but very common B2 discourse
Ni por asomo habría imaginado tal desenlace.,C1,C1,Real C1 fixed expression
"Así las cosas, cabría esperar una reacción distinta.",C1,C1,Real C1
"Habida cuenta de las circunstancias, procederemos con cautela.",C1,C1,Legal/formal C1
"Quiérase o no, el problema persiste.",C1,C1,Already correct
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1,B2,"Siempre y cuando" + pluscuamperfecto = B2
sentence,original,corrected_label,comment (only if changed)
"Mal que bien, se habrá alcanzado el objetivo.",C1,B2,"Mal que bien" is a fixed B2 expression
Me levanto a las siete y desayuno café.,A2,A2,
Mi hermano vive en Barcelona y estudia ingeniería.,A2,A2,
Trabajo en una oficina y uso el ordenador cada día.,A2,A2,
El perro está en el jardín y la puerta está cerrada.,A2,A2,
Hoy es martes y tengo clase de inglés.,A2,A2,
Voy al supermercado y compro pan y leche.,A2,A2,
Mi casa es pequeña pero cómoda.,A2,A2,
Estoy cansado y quiero dormir.,A2,A2,
¿Dónde está la estación de tren?,A1,A1,
Necesito agua porque tengo sed.,A2,A2,
Tengo hambre y quiero comer una pizza.,A2,A2,
Tienes que estudiar para el examen.,A2,A2,
Puedo ayudarte si quieres.,A2,A2,
Sé tocar la guitarra.,A2,A2,
He visitado a mis abuelos este fin de semana.,B1,B1,
Ayer fui al cine con mis amigos.,B1,B1,
Quiero viajar a México el año que viene.,A2,A2,
Deberías descansar; estás muy cansado.,A2,A2,
"¿Puedes abrir la ventana, por favor?",A2,A2,
"Me duele la cabeza, pero sigo trabajando.",B1,B1,
"Cuando era pequeño, mi abuela me contaba cuentos.",B1,B1,
Espero que vengas mañana a mi casa.,B1,B1,
Me levanto temprano y voy al trabajo.,A2,A2,
Mi hermana estudia medicina y vive en Madrid.,A2,A2,
Hoy es domingo y estoy en casa.,A2,A2,
El perro está en el jardín y la puerta está abierta.,A2,A2,
Voy al supermercado y compro frutas y verduras.,A2,A2,
Trabajo en una oficina y uso el ordenador.,A2,A2,
Mi cumpleaños es en mayo y tengo 30 años.,A2,A2,
Sé conducir un coche.,A2,A2,
"Si llueve, no salgo; si hace sol, voy a la playa.",B2,B2,
"Por ende de lo expuesto, concluyo que es viable.",C1,B2,"Por ende" + formal vocab = high B2
Me llamo Pedro y vivo en Zaragoza.,A1,A1,
Trabajo en una tienda y estudio por las tardes.,A2,A2,
Hoy es lunes y tengo clase de matemáticas.,A2,A2,
Me gusta el fútbol y juego con mis amigos.,A2,A2,
"Si hubiere lugar, se dictará sentencia.",C1,C1,Legal future-perfect subj. → genuine C1
"Para cuando llegues, ya habré terminado.",B2,B2,
"Sea cual fuere la decisión, la acataremos.",C1,C1,Real C1
"En caso de que hubiere nuevas pruebas, se revisará el caso.",C1,B2,High B2 (future-perfect subj. is taught at B2)
"A fuer de honesto, no me convenció.",C1,C1,Archaic → real C1
Habrá terminado el trabajo aunque estaba cansado.,B2,B2,
Habrá comido pan aunque no tenía hambre.,B2,B2,
Habrá abierto la puerta aunque estaba cerrada.,B2,B2,
Habrá dicho la verdad aunque nadie la creyó.,B2,B2,
Habrá estudiado aunque no quería hacerlo.,B2,B2,
Habría terminado la tarea sin embargo no tuvo tiempo.,B2,B2,
Habría comido arroz sin embargo no había suficiente.,B2,B2,
Habría bebido café sin embargo estaba tarde.,B2,B2,
Habría abierto la ventana sin embargo hacía frío.,B2,B2,
Habría dicho su nombre sin embargo nadie escuchó.,B2,B2,
Hube llegado temprano aunque llovía.,C1,B2,Pretérito anterior is B2 (rare but explicitly taught)
Hube visto el coche aunque estaba oscuro.,C1,B2,Same
Hube abierto la puerta aunque estaba pesada.,C1,B2,Same
Hube terminado el trabajo aunque estaba difícil.,C1,B2,Same
Hube escrito la carta aunque estaba cansado.,C1,B2,Same
"Si hubiera estudiado, habría aprobado aunque estaba enfermo.",B2,B2,
"Si hubiera comido, habría tenido energía aunque estaba cansado.",B2,B2,
"Si hubiera bebido agua, habría estado mejor aunque hacía calor.",B2,B2,
"Si hubiera abierto la ventana, habría entrado aire aunque hacía frío.",B2,B2,
"Si hubiera dicho la verdad, habría sido justo aunque nadie quería escuchar.",B2,B2,
Habrá comido pan.,B2,B2,
Habría bebido café.,B2,B2,
Habría abierto la ventana.,B2,B2,
Habría dicho su nombre.,B2,B2,
Habría terminado la tarea.,B2,B2,
Hube llegado temprano.,C1,B2,Pretérito anterior = B2
Hube visto el coche.,C1,B2,Same
Hube abierto la puerta.,C1,B2,Same
"Si hubiera estudiado, habría aprobado.",B2,B2,
"Si hubiera comido, habría tenido energía.",B2,B2,
Me llamo Luis y vivo en Valencia.,A1,A1,
Mi hermana es médica y mi hermano es estudiante.,A2,A2,
Estoy en casa y miro la televisión.,A2,A2,
Mi perro está en el jardín y mi gato en la cocina.,A2,A2,
Busco mi mochila; está debajo de la mesa.,A2,A2,
Somos cuatro en la familia y vivimos juntos.,A2,A2,
Necesito agua...,A2,A2,
El libro está en la mesa y la ventana está abierta.,A2,A2,
Mi madre trabaja de ocho a cinco y yo estudio.,A2,A2,
Como arroz y bebo agua todos los días.,A2,A2,
Vivo cerca del parque y camino por la mañana.,A2,A2,
El museo abre a las diez y cierra a las seis.,A2,A2,
"Estoy de acuerdo, pero no entiendo todo.",B1,B1,
Tienes que ir al médico mañana.,A2,A2,
Sé tocar la guitarra un poco.,A2,A2,
"Cuando llego, te llamo porque no tengo tiempo.",A2,A2,
Necesito comprar medicinas porque estoy resfriado.,A2,A2,
Voy a empezar un curso de fotografía.,A2,A2,
¿Sabes conducir o prefieres ir en taxi?,A2,A2,
Estoy aprendiendo a cocinar postres sencillos.,A2,A2,
"Antes no comía pescado, pero ahora me gusta.",B1,B1,
Esta tarde he quedado con unos amigos.,A2,A2,
"Cuando termines, avísame.",B2,B2,
No puedo salir porque tengo una reunión.,A2,A2,
Miro la televisión y descanso.,A2,A2,
Como pan y bebo agua.,A1,A1,
"Aunque llueva, vamos al parque.",B2,B2,
Quiero que vengas a mi casa.,B1,B1,
Es importante que estudies para el examen.,B1
Necesito que me ayudes con la tarea.,B1
"Para que entiendas mejor, te explico otra vez.",B2
"Antes de que salgas, cierra la ventana.",B2
Espero que tengas un buen día.,B1
Prefiero que me llames por la tarde.,B2
"Hasta que llegues, no empiezo la película.",B2
Mi piso tiene dos dormitorios.,A2
Voy al gimnasio y luego ceno.,A2
El fin de semana pasado fui al campo.,B1
"Cuando era niño, vivía en un pueblo.",B1
Creo que mañana hará sol.,B1
No me importa que llegues tarde.,B1
Ojalá tengamos vacaciones pronto.,B1
Me alegro mucho de que hayas venido.,B1
He estado enfermo toda la semana.,B1
Hace tres años que estudio español.,B1
Me gustaría vivir en otro país.,B1
Es la primera vez que visito Madrid.,B1
Dudo que venga esta noche.,B2
"Aunque estaba cansado, terminé el trabajo.",B2
"Si hubiera sabido, no habría venido.",B2
No me había dado cuenta de lo caro que era.,B2
"Para cuando llegué, ya habían cerrado.",B2
Es posible que haya perdido el móvil.,B2
Me molestó que no me avisaran antes.,B2
"Habrá llegado hace una hora, más o menos.",B2
"De haberlo sabido, habría traído paraguas.",B2
Prefiero que hablemos mañana con calma.,B2
"Antes de que te vayas, dame tu número.",B2
Lo hice para que no te enfadaras.,B2
"Por mucho que corriera, no llegué a tiempo.",B2
"En cuanto acabe, te llamo sin falta.",B2
Me sorprende que todavía no lo sepas.,B2
Espero que hayas tenido buen viaje.,B1
No creo que sea tan difícil.,B2
"Hasta que no lo vea, no me lo creo.",B2
"Si tuviera dinero, compraría un coche nuevo.",B2
Me da igual que llueva o haga sol.,B2
"Sea como fuere, hay que tomar una decisión.",C1
"Con tal de que no se entere nadie, lo hago.",C1
"Apenas hube cerrado la puerta, sonó el teléfono.",C1
"Por más que lo intento, no logro entenderlo.",C1
Hube de admitir que tenía razón.,C1
En modo alguno aceptaremos esas condiciones.,C1
"Mal que le pese, tendrá que disculparse.",C1
"Quiérase o no, la realidad es esa.",C1
"A poco que analices los datos, verás el error.",C1
"De haber mediado un acuerdo previo, nada habría pasado.",C1
"Así las cosas, poco podemos hacer.",C1
"Con todo y con eso, salió adelante.",C1
Ni que fuera el fin del mundo.,C1
Cabría esperar una respuesta más rápida.,C1
"Habida cuenta de lo sucedido, actuaremos con cautela.",C1
Me duele la cabeza desde ayer.,B1
No estoy seguro de poder venir.,B1
Me gustaría que me ayudaras mañana.,B1
Es una pena que no hayas podido venir.,B1
Lo importante es que estés bien.,B1
No entiendo por qué se enfadó tanto.,B1
"Aunque no me guste, lo haré.",B2
Me extraña que no te haya llamado.,B2
Habría llegado antes si no hubiera tráfico.,B2
Para que veas lo fácil que es.,B2
No me había fijado en ese detalle.,B2
Es normal que esté nervioso antes del examen.,B2
Ojalá llueva esta noche.,B1
"A pesar de la lluvia, salimos a pasear.",B2
"De no haber sido por ti, no lo habríamos conseguido.",B2
"En caso de que llueva, llevaremos paraguas.",B2
No veo el momento de que lleguen las vacaciones.,B2
"Tan pronto como pueda, te devuelvo el dinero.",B2
"Por muy cansado que esté, iré al cumpleaños.",B2
"Siempre y cuando me avises con tiempo, no hay problema.",C1
"A la postre, todo salió mejor de lo esperado.",C1
"Venga lo que venga, lo afrontaremos juntos.",C1
Ni por asomo se me ocurrió que pudiera pasar.,C1
"Fuere cual fuere su decisión, la respetaremos.",C1
Huelga decir que estamos muy agradecidos.,C1
"Cuando termines, avísame.",B2
"Aunque llueva, vamos al parque.",B2
"Para que entiendas mejor, te explico otra vez.",B2
"Antes de que salgas, cierra la ventana.",B2
Prefiero que me llames por la tarde.,B2
"Hasta que llegues, no empiezo la película.",B2
sentence,original,corrected_label,comment (only if changed)
Quiero que vengas a mi casa.,B1,B1,
Es importante que estudies para el examen.,B1,B1,
Necesito que me ayudes con la tarea.,B1,B1,
"Para que entiendas mejor, te explico otra vez.",B2,B2,
"Antes de que salgas, cierra la ventana.",B2,B2,
Espero que tengas un buen día.,B1,B1,
Prefiero que me llames por la tarde.,B2,B2,
"Hasta que llegues, no empiezo la película.",B2,B2,
Mi piso tiene dos dormitorios.,A2,A2,
Voy al gimnasio y luego ceno.,A2,A2,
El fin de semana pasado fui al campo.,B1,B1,
"Cuando era niño, vivía en un pueblo.",B1,B1,
Creo que mañana hará sol.,B1,B1,
No me importa que llegues tarde.,B1,B1,
Ojalá tengamos vacaciones pronto.,B1,B1,
Me alegro mucho de que hayas venido.,B1,B1,
He estado enfermo toda la semana.,B1,B1,
Hace tres años que estudio español.,B1,B1,
Me gustaría vivir en otro país.,B1,B1,
Es la primera vez que visito Madrid.,B1,B1,
Dudo que venga esta noche.,B2,B2,
"Aunque estaba cansado, terminé el trabajo.",B2,B2,
"Si hubiera sabido, no habría venido.",B2,B2,
No me había dado cuenta de lo caro que era.,B2,B2,
"Para cuando llegué, ya habían cerrado.",B2,B2,
Es posible que haya perdido el móvil.,B2,B2,
Me molestó que no me avisaran antes.,B2,B2,
"Habrá llegado hace una hora, más o menos.",B2,B2,
"De haberlo sabido, habría traído paraguas.",B2,B2,
Prefiero que hablemos mañana con calma.,B2,B2,
"Antes de que te vayas, dame tu número.",B2,B2,
Lo hice para que no te enfadaras.,B2,B2,
"Por mucho que corriera, no llegué a tiempo.",B2,B2,
"En cuanto acabe, te llamo sin falta.",B2,B2,
Me sorprende que todavía no lo sepas.,B2,B2,
Espero que hayas tenido buen viaje.,B1,B1,
No creo que sea tan difícil.,B2,B2,
"Hasta que no lo vea, no me lo creo.",B2,B2,
"Si tuviera dinero, compraría un coche nuevo.",B2,B2,
Me da igual que llueva o haga sol.,B2,B2,
"Sea como fuere, hay que tomar una decisión.",C1,C1,Real C1 fixed expression
"Con tal de que no se entere nadie, lo hago.",C1,B2,Very common B2
"Apenas hube cerrado la puerta, sonó el teléfono.",C1,B2,Pretérito anterior = high B2
"Por más que lo intento, no logro entenderlo.",C1,B2,Classic B2
Hube de admitir que tenía razón.,C1,B2,"Hube de" = B2
En modo alguno aceptaremos esas condiciones.,C1,C1,Real C1 (archaic negation)
"Mal que le pese, tendrá que disculparse.",C1,B2,Fixed B2 adversative
"Quiérase o no, la realidad es esa.",C1,C1,Real C1 inversion
"A poco que analices los datos, verás el error.",C1,B2,High B2
"De haber mediado un acuerdo previo, nada habría pasado.",C1,C1,Real C1 (formal + inversion)
"Así las cosas, poco podemos hacer.",C1,C1,Real C1 discourse marker
"Con todo y con eso, salió adelante.",C1,B2,High B2 colloquial
Ni que fuera el fin del mundo.,C1,B2,Very common spoken B2
Cabría esperar una respuesta más rápida.,C1,C1,Real C1 (conditional of "caber")
"Habida cuenta de lo sucedido, actuaremos con cautela.",C1,C1,Legal/formal C1
Me duele la cabeza desde ayer.,B1,B1,
No estoy seguro de poder venir.,B1,B1,
Me gustaría que me ayudaras mañana.,B1,B1,
Es una pena que no hayas podido venir.,B1,B1,
Lo importante es que estés bien.,B1,B1,
No entiendo por qué se enfadó tanto.,B1,B1,
"Aunque no me guste, lo haré.",B2,B2,
Me extraña que no te haya llamado.,B2,B2,
Habría llegado antes si no hubiera tráfico.,B2,B2,
Para que veas lo fácil que es.,B2,B2,
No me había fijado en ese detalle.,B2,B2,
Es normal que esté nervioso antes del examen.,B2,B2,
Ojalá llueva esta noche.,B1,B1,
"A pesar de la lluvia, salimos a pasear.",B2,B2,
"De no haber sido por ti, no lo habríamos conseguido.",B2,B2,
"En caso de que llueva, llevaremos paraguas.",B2,B2,
No veo el momento de que lleguen las vacaciones.,B2,B2,
"Tan pronto como pueda, te devuelvo el dinero.",B2,B2,
"Por muy cansado que esté, iré al cumpleaños.",B2,B2,
"Siempre y cuando me avises con tiempo, no hay problema.",C1,B2,Standard B2
"A la postre, todo salió mejor de lo esperado.",C1,B2,Formal but high B2
"Venga lo que venga, lo afrontaremos juntos.",C1,B2,Common motivational B2
Ni por asomo se me ocurrió que pudiera pasar.,C1,C1,Real C1 fixed expression
"Fuere cual fuere su decisión, la respetaremos.",C1,C1,Real C1 (archaic future subj.)
Huelga decir que estamos muy agradecidos.,C1,C1,Real C1 fixed expression
"Cuando termines, avísame.",B2,B2,
"Aunque llueva, vamos al parque.",B2,B2,
"Para que entiendas mejor, te explico otra vez.",B2,B2,
"Antes de que salgas, cierra la ventana.",B2,B2,
Prefiero que me llames por la tarde.,B2,B2,
"Hasta que llegues, no empiezo la película.",B2,B2,
"Sea como sea, lo arreglaremos.",B2
"Sea como fuere, lo arreglaremos.",C1
"En caso de que haya problemas, avísame.",B2
"En caso de que hubiere problemas, se suspenderá el acto.",C1
"Aunque sea difícil, lo intentaré.",B2
"Aunque fuere menester, lo intentaré.",C1
"Hubo un tiempo en que creía en los milagros.",B2
"Venga lo que venga, aquí estoy.",B2
"Viniere lo que viniere, aquí estoy.",C1
"A poco que corras, llegas a tiempo.",B2
"A poco que corriere, llegaría a tiempo.",C1
"Mal que bien hubimos terminado el proyecto.",B2
"De haberlo yo sabido, otro gallo cantara.",C1
"Por más que gritase, no me oyere.",C1
"Si hubiere lugar, se adoptarán medidas.",C1
"Si hay lugar, adoptaremos medidas.",B2
"Ni que fuere el rey de España.",C1
"A la postre, hubiérase visto mejor solución.",C1
"Visto bueno.",C1
"Dado el caso.",C1
"Sin perjuicio de lo anterior.",C1
"Habida cuenta de las circunstancias.",C1
"En modo alguno lo permitiré.",C1
"Ni por asomo se me ocurrió.",C1
"Huelga decir que estamos encantados.",C1
"Cabría pensar que exageras.",C1
"A fuer de sincero, me decepcionó.",C1
"Fuese cual fuere su decisión, la acataremos.",C1
"Así las cosas, poco cabe hacer.",C1
"Menester sería revisar el acuerdo.",C1
"Quien hubiere terminado, puede salir.",C1
"Tengo mucha sed y quiero agua fría.",A2
"Mi hermano mayor trabaja en una fábrica.",A2
"Necesito ayuda porque no entiendo nada.",A2
"Quiero comer pizza aunque estoy a dieta.",A2
"Vivo con mis padres y mi hermana pequeña.",A2
"Me duele la cabeza desde esta mañana.",A2
"El tren sale a las ocho y media exactamente.",A2
"Me da igual ocho que ochenta.",B2
"Ni de coña pienso ir.",B2
"A mí plín, haz lo que quieras.",B2
"Total, que al final no vino nadie.",B2
"Échame una mano, anda.",B2
"Estoy hasta el gorro de tanto ruido.",B2
"Nos pilló el toro y no llegamos.",B2
"Esto es pan comido.",B2
"Ni loco me meto en ese lío.",B2
"Venga ya, no me lo trago.",B2
"Como dos y dos son cuatro.",B2
"De perdidos al río.",B2
"Quien ríe último ríe mejor.",B2
"No hay tu tía.",B2
"Estar en el quinto sueño.",B2
"Fuérelo o no, así se hará.",C2
"Venga lo que viniere y fuere lo que fuere.",C2
"Así en la tierra como lo fuere en el cielo.",C2
"Diera lo que diere, menester será afrontarlo.",C2
"Ni aun en sueños hubiérase imaginado tal desaguisado.",C2