sentence,correct level
"Me llamo Luis y vivo en Valencia.",A1
"Trabajo en una tienda y estudio por las tardes.",A1
"Mi hermana es médica y mi hermano es estudiante.",A1
"Hoy es lunes y tengo clase de matemáticas.",A1
"Estoy en casa y miro la televisión.",A1
"Mi perro está en el jardín y mi gato en la cocina.",A1
"Busco mi mochila; está debajo de la mesa.",A1
"Voy al mercado y compro pan y leche.",A1
"Somos cuatro en la familia y vivimos juntos.",A1
"Necesito agua... (A1 test: 'necesitar' without modal),",A1
"¿Dónde está el baño? Estoy muy cansado.",A1
"Mi cumpleaños es en mayo y tengo 30 años.",A1
"Me gusta el fútbol y juego con mis amigos.",A1
"El coche es rojo y la casa es grande.",A1
"El libro está en la mesa y la ventana está abierta.",A1
"Mi madre trabaja de ocho a cinco y yo estudio.",A1
"Como arroz y bebo agua todos los días.",A1
"Vivo cerca del parque y camino por la mañana.",A1
"El museo abre a las diez y cierra a las seis.",A1
"Estoy de acuerdo, pero no entiendo todo.",A1
"Tengo hambre y quiero comer una pizza.",A2
"Tienes que ir al médico mañana.",A2
"Puedo ayudarte si quieres.",A2
"Sé tocar la guitarra un poco.",A2
"Ayer fui al cine con mis amigos.",A2
"He visitado a mis abuelos este fin de semana.",A2
"Cuando llego, te llamo porque no tengo tiempo.",A2
"Quiero viajar a México el año que viene.",A2
"Deberías descansar; estás muy cansado.",A2
"¿Puedes abrir la ventana, por favor?",A2
"Necesito comprar medicinas porque estoy resfriado.",A2
"Me duele la cabeza, pero sigo trabajando.",A2
"Voy a empezar un curso de fotografía.",A2
"¿Sabes conducir o prefieres ir en taxi?",A2
"Estoy aprendiendo a cocinar postres sencillos.",A2
"Antes no comía pescado, pero ahora me gusta.",A2
"Esta tarde he quedado con unos amigos.",A2
"Cuando termines, avísame.",A2
"No puedo salir porque tengo una reunión.",A2
"Quiero que vengas a mi fiesta.",B1
"Espero que no llueva mañana.",B1
"Cuando era pequeño, jugaba en el patio con mis primos.",B1
"De niño, siempre leía cuentos antes de dormir.",B1
"El año pasado viajé a Perú y fue inolvidable.",B1
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1
"Estoy a punto de salir; voy a llegar tarde.",B1
"Me gustaría que me ayudaras con este proyecto.",B1
"Es importante que estudies para el examen.",B1
"Busco un piso que sea tranquilo y luminoso.",B1
"Si llueve, no salgo; si hace sol, voy a la playa.",B1
"Quiero que sepas que te apoyo.",B1
"Temo que no haya tiempo suficiente.",B1
"Me alegra que estés aquí.",B1
"Es mejor que cojas el tren.",B1
"Tal vez llegue más tarde; no estoy seguro.",B1
"Pensaba ir al cine, pero al final me quedé en casa.",B1
"¿Has visto la película que te recomendé?",B1
"Me parece bien que cambiemos el plan.",B1
"Fue entonces cuando entendí lo que pasaba.",B1
"Si tuviera tiempo, viajaría por el mundo.",B2
"Quería que vinieras, aunque fuera difícil.",B2
"Aunque llueva, iremos al concierto.",B2
"Me gustaría que me lo explicaras con detalle.",B2
"Dudaba que ellos supieran la respuesta.",B2
"Era necesario que actuáramos con prudencia.",B2
"Si hubieras venido, habríamos terminado antes.",B2
"Me molestó que hablaran tan alto en la reunión.",B2
"Sin embargo, no comparto esa opinión.",B2
"Por lo tanto, deberíamos reconsiderar la propuesta.",B2
"Además, hay que tener en cuenta los costos.",B2
"Aun cuando parecía fácil, resultó complejo.",B2
"Es probable que lleguen más tarde de lo previsto.",B2
"Buscaba a alguien que tuviera experiencia.",B2
"No creo que sea necesario cambiar todo.",B2
"Me sorprendió que lo hicieran sin avisar.",B2
"De tal palo, tal astilla.",B2
"A buen entendedor, pocas palabras bastan.",B2
"Quien mal anda, mal acaba.",B2
"Por más que le insistiera, no aceptó.",B2
"Apenas hube terminado, salí corriendo.",C1
"Cuando hube leído la carta, entendí la situación.",C1
"Para entonces, se habrá resuelto el conflicto.",C1
"Para mañana, ya habré terminado el informe.",C1
"Si hubieras sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1
"No hay mal que por bien no venga; a la postre, aprendimos mucho.",C1
"De haberlo sabido, habría actuado de otra manera.",C1
"Ojalá hubiera podido acompañarte ayer.",C1
"Quisiera que te hubieras quedado un poco más.",C1
"Puede que para entonces ya lo hayamos decidido.",C1
"A poco que te esfuerces, lo habrás conseguido.",C1
"Sea como fuere, conviene mantener la calma.",C1
"Comoquiera que se mire, no deja de ser paradójico.",C1
"Por mucho que dijeran, no habría cambiado de opinión.",C1
"Ni que lo hubieras hecho tú, habría salido mejor.",C1
"Habíamos pensado que se habría resuelto antes.",C1
"Si para entonces hubiere terminado, me avisará.",C1
"Quien hubiera querido participar, habría podido hacerlo.",C1
"En caso de que hubieras llegado a tiempo, te habrías reunido con ellos.",C1
"A fuer de sincero, no me convenció la propuesta.",C1
"Estoy echando de menos a mi familia; sin embargo, sigo trabajando.",B2
"Que venga quien quiera; los demás, que esperen fuera.",B2
"Si bien es cierto, no podemos ignorar los riesgos.",B2
"Con todo, aceptamos las condiciones.",B2
"Es de esperar que mejoren los resultados.",B2
"Me tranquiliza que hayan confirmado la fecha.",B2
"En cuanto termine, te llamo; mientras tanto, revisa el documento.",B2
"Aun así, mantuvieron la decisión.",B2
"Por ende, reduciremos el presupuesto.",B2
"Así las cosas, será complicado avanzar.",B2
"Me temo que no lleguemos a tiempo.",B2
"Es menester que cumplamos el plazo.",B2
"Para que no te pierdas, te haré un mapa.",B2
"Sin que nadie lo advirtiera, cambió de plan.",B2
"De no ser por ti, todo habría salido mal.",B2
"Si supiera la respuesta, te la diría.",B2
"Cuando hubiste acabado, nos fuimos a casa.",C1
"Si para entonces hubiere llegado, le notificaremos.",C1
"Tan pronto como hubieron salido, empezó la lluvia.",C1
"Quien no hubiera estudiado, habría suspendido.",C1
"Habrá sido una decisión difícil, pero acertada.",C1
"Para cuando te des cuenta, ya se habrá solucionado.",C1
"Si hubiera llovido, habríamos cancelado la excursión.",C1
"De no haber mediado el acuerdo, se habría roto la negociación.",C1
"Sea cual fuere el resultado, seguiremos adelante.",C1
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1
"A la sazón, nadie sospechaba lo ocurrido.",C1
"Con todo y con eso, resultó ser lo mejor.",C1
"Antes que nada, permítanme agradecer su presencia.",C1
"Por ende de lo expuesto, concluyo que es viable.",C1
"Ni por asomo habría imaginado tal desenlace.",C1
"Así las cosas, cabría esperar una reacción distinta.",C1
"Habida cuenta de las circunstancias, procederemos con cautela.",C1
"Quiérase o no, el problema persiste.",C1
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1
"Mal que bien, se habrá alcanzado el objetivo.",C1
"Me levanto a las siete y desayuno café.",A1
"Mi hermano vive en Barcelona y estudia ingeniería.",A1
"Trabajo en una oficina y uso el ordenador cada día.",A1
"El perro está en el jardín y la puerta está cerrada.",A1
"Hoy es martes y tengo clase de inglés.",A1
"Voy al supermercado y compro pan y leche.",A1
"Mi casa es pequeña pero cómoda.",A1
"Estoy cansado y quiero dormir.",A1
"¿Dónde está la estación de tren?",A1
"Necesito agua porque tengo sed.",A1
"Tengo hambre y quiero comer una pizza.",A2
"Tienes que estudiar para el examen.",A2
"Puedo ayudarte si quieres.",A2
"Sé tocar la guitarra.",A2
"He visitado a mis abuelos este fin de semana.",A2
"Ayer fui al cine con mis amigos.",A2
"Quiero viajar a México el año que viene.",A2
"Deberías descansar; estás muy cansado.",A2
"¿Puedes abrir la ventana, por favor?",A2
"Me duele la cabeza, pero sigo trabajando.",A2
"Cuando era pequeño, mi abuela me contaba cuentos.",B1
"De niño, siempre leía cuentos antes de dormir.",B1
"El año pasado viajé a Perú y fue inolvidable.",B1
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1
"Espero que vengas mañana a mi casa.",B1
"Es importante que estudies para el examen.",B1
"Busco un piso que sea tranquilo y luminoso.",B1
"Si llueve, no salgo; si hace sol, voy a la playa.",B1
"Me alegra que estés aquí.",B1
"Es mejor que cojas el tren.",B1
"Si tuviera tiempo, viajaría por el mundo.",B2
"Quería que vinieras, aunque fuera difícil.",B2
"Aunque llueva, iremos al concierto.",B2
"Dudaba que ellos supieran la respuesta.",B2
"Era necesario que actuáramos con prudencia.",B2
"Me molestó que hablaran tan alto en la reunión.",B2
"Sin embargo, no comparto esa opinión.",B2
"Por lo tanto, deberíamos reconsiderar la propuesta.",B2
"Además, hay que tener en cuenta los costos.",B2
"De tal palo, tal astilla.",B2
"A buen entendedor, pocas palabras bastan.",B2
"Quien mal anda, mal acaba.",B2
"Por más que le insistiera, no aceptó.",B2
"Apenas hube terminado, salí corriendo.",C1
"Cuando hube leído la carta, entendí la situación.",C1
"Para entonces, se habrá resuelto el conflicto.",C1
"Para mañana, ya habré terminado el informe.",C1
"Si hubiera sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1
"No hay mal que por bien no venga; a la postre, aprendimos mucho.",C1
"De haberlo sabido, habría actuado de otra manera.",C1
"Ojalá hubiera podido acompañarte ayer.",C1
"Quisiera que te hubieras quedado un poco más.",C1
"Puede que para entonces ya lo hayamos decidido.",C1
"A poco que te esfuerces, lo habrás conseguido.",C1
"Sea como fuere, conviene mantener la calma.",C1
"Comoquiera que se mire, no deja de ser paradójico.",C1
"Por mucho que dijeran, no habría cambiado de opinión.",C1
"Ni que lo hubieras hecho tú, habría salido mejor.",C1
"Habíamos pensado que se habría resuelto antes.",C1
"Si para entonces hubiere terminado, me avisará.",C1
"Quien hubiera querido participar, habría podido hacerlo.",C1
"En caso de que hubieras llegado a tiempo, te habrías reunido con ellos.",C1
"A fuer de sincero, no me convenció la propuesta.",C1
"Sea cual fuere el resultado, seguiremos adelante.",C1
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1
"A la sazón, nadie sospechaba lo ocurrido.",C1
"Con todo y con eso, resultó ser lo mejor.",C1
"Antes que nada, permítanme agradecer su presencia.",C1
"Por ende de lo expuesto, concluyo que es viable.",C1
"Ni por asomo habría imaginado tal desenlace.",C1
"Así las cosas, cabría esperar una reacción distinta.",C1
"Habida cuenta de las circunstancias, procederemos con cautela.",C1
"Quiérase o no, el problema persiste.",C1
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1
"Mal que bien, se habrá alcanzado el objetivo.",C1
"Me levanto temprano y voy al trabajo.",A1
"Mi hermana estudia medicina y vive en Madrid.",A1
"Hoy es domingo y estoy en casa.",A1
"El perro está en el jardín y la puerta está abierta.",A1
"Voy al supermercado y compro frutas y verduras.",A1
"Estoy cansado y quiero dormir.",A1
"¿Dónde está la estación de autobuses?",A1
"Necesito agua porque tengo sed.",A1
"Trabajo en una oficina y uso el ordenador.",A1
"Mi cumpleaños es en mayo y tengo 30 años.",A1
"Tengo hambre y quiero comer una pizza.",A2
"Tienes que estudiar para el examen.",A2
"Puedo ayudarte si quieres.",A2
"Sé conducir un coche.",A2
"He visitado a mis abuelos este fin de semana.",A2
"Ayer fui al cine con mis amigos.",A2
"Quiero viajar a México el año que viene.",A2
"Deberías descansar; estás muy cansado.",A2
"¿Puedes abrir la ventana, por favor?",A2
"Me duele la cabeza, pero sigo trabajando.",A2
"Cuando era pequeño, mi abuela me contaba cuentos.",B1
"De niño, siempre leía cuentos antes de dormir.",B1
"El año pasado viajé a Perú y fue inolvidable.",B1
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1
"Espero que vengas mañana a mi casa.",B1
"Es importante que estudies para el examen.",B1
"Busco un piso que sea tranquilo y luminoso.",B1
"Si llueve, no salgo; si hace sol, voy a la playa.",B1
"Me alegra que estés aquí.",B1
"Es mejor que cojas el tren.",B1
"Temo que no haya tiempo suficiente.",B1
"Quiero que sepas que te apoyo.",B1
"Fue entonces cuando entendí lo que pasaba.",B1
"Si tuviera tiempo, viajaría por el mundo.",B2
"Quería que vinieras, aunque fuera difícil.",B2
"Aunque llueva, iremos al concierto.",B2
"Dudaba que ellos supieran la respuesta.",B2
"Era necesario que actuáramos con prudencia.",B2
"Me molestó que hablaran tan alto en la reunión.",B2
"Sin embargo, no comparto esa opinión.",B2
"Por lo tanto, deberíamos reconsiderar la propuesta.",B2
"Además, hay que tener en cuenta los costos.",B2
"Aun cuando parecía fácil, resultó complejo.",B2
"Es probable que lleguen más tarde de lo previsto.",B2
"Buscaba a alguien que tuviera experiencia.",B2
"No creo que sea necesario cambiar todo.",B2
"Me sorprendió que lo hicieran sin avisar.",B2
"De tal palo, tal astilla.",B2
"A buen entendedor, pocas palabras bastan.",B2
"Quien mal anda, mal acaba.",B2
"Por más que le insistiera, no aceptó.",B2
"Apenas hube terminado, salí corriendo.",C1
"Cuando hube leído la carta, entendí la situación.",C1
"Para entonces, se habrá resuelto el conflicto.",C1
"Para mañana, ya habré terminado el informe.",C1
"Si hubiera sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1
"No hay mal que por bien no venga; a la postre, aprendimos mucho.",C1
"De haberlo sabido, habría actuado de otra manera.",C1
"Ojalá hubiera podido acompañarte ayer.",C1
"Quisiera que te hubieras quedado un poco más.",C1
"Puede que para entonces ya lo hayamos decidido.",C1
"A poco que te esfuerces, lo habrás conseguido.",C1
"Sea como fuere, conviene mantener la calma.",C1
"Comoquiera que se mire, no deja de ser paradójico.",C1
"Por mucho que dijeran, no habría cambiado de opinión.",C1
"Ni que lo hubieras hecho tú, habría salido mejor.",C1
"Habíamos pensado que se habría resuelto antes.",C1
"Si para entonces hubiere terminado, me avisará.",C1
"Quien hubiera querido participar, habría podido hacerlo.",C1
"En caso de que hubieras llegado a tiempo, te habrías reunido con ellos.",C1
"A fuer de sincero, no me convenció la propuesta.",C1
"Sea cual fuere el resultado, seguiremos adelante.",C1
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1
"A la sazón, nadie sospechaba lo ocurrido.",C1
"Con todo y con eso, resultó ser lo mejor.",C1
"Antes que nada, permítanme agradecer su presencia.",C1
"Por ende de lo expuesto, concluyo que es viable.",C1
"Ni por asomo habría imaginado tal desenlace.",C1
"Así las cosas, cabría esperar una reacción distinta.",C1
"Habida cuenta de las circunstancias, procederemos con cautela.",C1
"Quiérase o no, el problema persiste.",C1
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1
"Mal que bien, se habrá alcanzado el objetivo.",C1
"Me llamo Pedro y vivo en Zaragoza.",A1
"Trabajo en una tienda y estudio por las tardes.",A1
"Hoy es lunes y tengo clase de matemáticas.",A1
"El perro está en el jardín y la puerta está cerrada.",A1
"Voy al mercado y compro pan y leche.",A1
"Estoy cansado y quiero dormir.",A1
"¿Dónde está la estación de tren?",A1
"Necesito agua porque tengo sed.",A1
"Mi cumpleaños es en mayo y tengo 30 años.",A1
"Me gusta el fútbol y juego con mis amigos.",A1
"Tengo hambre y quiero comer una pizza.",A2
"Tienes que estudiar para el examen.",A2
"Puedo ayudarte si quieres.",A2
"Sé conducir un coche.",A2
"He visitado a mis abuelos este fin de semana.",A2
"Ayer fui al cine con mis amigos.",A2
"Quiero viajar a México el año que viene.",A2
"Deberías descansar; estás muy cansado.",A2
"¿Puedes abrir la ventana, por favor?",A2
"Me duele la cabeza, pero sigo trabajando.",A2
"Cuando era pequeño, mi abuela me contaba cuentos.",B1
"De niño, siempre leía cuentos antes de dormir.",B1
"El año pasado viajé a Perú y fue inolvidable.",B1
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1
"Espero que vengas mañana a mi casa.",B1
"Es importante que estudies para el examen.",B1
"Busco un piso que sea tranquilo y luminoso.",B1
"Si llueve, no salgo; si hace sol, voy a la playa.",B1
"Me alegra que estés aquí.",B1
"Es mejor que cojas el tren.",B1
"Si tuviera tiempo, viajaría por el mundo.",B2
"Quería que vinieras, aunque fuera difícil.",B2
"Aunque llueva, iremos al concierto.",B2
"Dudaba que ellos supieran la respuesta.",B2
"Era necesario que actuáramos con prudencia.",B2
"Me molestó que hablaran tan alto en la reunión.",B2
"Sin embargo, no comparto esa opinión.",B2
"Por lo tanto, deberíamos reconsiderar la propuesta.",B2
"Además, hay que tener en cuenta los costos.",B2
"De tal palo, tal astilla.",B2
"A buen entendedor, pocas palabras bastan.",B2
"Quien mal anda, mal acaba.",B2
"Por más que le insistiera, no aceptó.",B2
"Apenas hube terminado, salí corriendo.",C1
"Cuando hube leído la carta, entendí la situación.",C1
"Para entonces, se habrá resuelto el conflicto.",C1
"Para mañana, ya habré terminado el informe.",C1
"Si hubiera sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1
"No hay mal que por bien no venga; a la postre, aprendimos mucho.",C1
"De haberlo sabido, habría actuado de otra manera.",C1
"Ojalá hubiera podido acompañarte ayer.",C1
"Quisiera que te hubieras quedado un poco más.",C1
"Puede que para entonces ya lo hayamos decidido.",C1
"A poco que te esfuerces, lo habrás conseguido.",C1
"Sea como fuere, conviene mantener la calma.",C1
"Comoquiera que se mire, no deja de ser paradójico.",C1
"Por mucho que dijeran, no habría cambiado de opinión.",C1
"Ni que lo hubieras hecho tú, habría salido mejor.",C1
"Habíamos pensado que se habría resuelto antes.",C1
"Si para entonces hubiere terminado, me avisará.",C1
"Quien hubiera querido participar, habría podido hacerlo.",C1
"En caso de que hubieras llegado a tiempo, te habrías reunido con ellos.",C1
"A fuer de sincero, no me convenció la propuesta.",C1
"Sea cual fuere el resultado, seguiremos adelante.",C1
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1
"A la sazón, nadie sospechaba lo ocurrido.",C1
"Con todo y con eso, resultó ser lo mejor.",C1
"Antes que nada, permítanme agradecer su presencia.",C1
"Por ende de lo expuesto, concluyo que es viable.",C1
"Ni por asomo habría imaginado tal desenlace.",C1
"Así las cosas, cabría esperar una reacción distinta.",C1
"Habida cuenta de las circunstancias, procederemos con cautela.",C1
"Quiérase o no, el problema persiste.",C1
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1
"Mal que bien, se habrá alcanzado el objetivo.",C1
"Si hubiere lugar, se dictará sentencia.",C1
"Tan pronto como hubieron salido, empezó la lluvia.",C1
"Para cuando llegues, ya habré terminado.",C1
"De no haber mediado el acuerdo, se habría roto la negociación.",C1
"Sea cual fuere la decisión, la acataremos.",C1
"En caso de que hubiere nuevas pruebas, se revisará el caso.",C1
"A fuer de honesto, no me convenció.",C1
"Habrá sido una decisión difícil, pero acertada.",C1
"Para cuando te des cuenta, ya se habrá solucionado.",C1
"Ni por asomo habría imaginado tal desenlace.",C1
"Así las cosas, cabría esperar otra reacción.",C1
"Habida cuenta de las circunstancias, actuaremos con cautela.",C1
"Quiérase o no, el problema persiste.",C1
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1
"Mal que bien, se habrá alcanzado el objetivo.",C1
