cefr_level,translation
A2,Intentemos algo.
A1,Tengo que irme a dormir.
A1,Hoy es 18 de junio y es el cumpleaños de Muiriel.
A1,Muiriel tiene 20 años ahora.
A1,"La contraseña es ""Muiriel""."
A1,Volveré pronto.
A1,Estoy sin palabras.
A2,Esto nunca va a terminar.
B1,Simplemente no sé qué decir.
A1,Ese era un conejo malvado.
A1,Estuve en las montañas.
A2,¿Es una foto reciente?
A2,No sé si tengo tiempo.
B1,La educación en este mundo me decepciona.
A2,Estás en mejor forma que yo.
A1,Estás en mi camino.
A1,Esto costará 30 €.
A1,Gano 100 € al día.
B2,Puede que me rinda pronto y simplemente tome una siesta en su lugar.
B1,Es porque no quieres estar solo.
A2,Eso no va a pasar.
B1,A veces puede ser un tipo extraño.
B1,Haré mi mejor esfuerzo para no interrumpir tu estudio.
C1,Solo puedo preguntarme si esto es lo mismo para los demás.
B2,Supongo que es diferente cuando lo piensas a largo plazo.
A1,Te extraño.
B1,Los llamaré mañana cuando regrese.
B1,Siempre me han gustado más los personajes misteriosos.
A1,Deberías dormir.
A1,Voy a irme.
B2,Les dije que me enviaran otro boleto.
B1,Eres tan impaciente conmigo.
B1,No puedo vivir ese tipo de vida.
B1,Una vez quise ser astrofísico.
A2,Nunca me gustó la biología.
B2,La última persona a la que le conté mi idea pensó que estaba loco.
C1,"Si el mundo no estuviera en la situación en la que está ahora, podría confiar en cualquiera."
B2,Es lamentablemente cierto.
B2,Están demasiado ocupados peleando entre ellos para preocuparse por ideales comunes.
B1,La mayoría de la gente piensa que estoy loco.
A1,"¡No, yo no lo soy; tú lo eres!"
A1,¡Esa es MI línea!
A1,¡Él me está pateando!
A1,¿Estás seguro?
B2,Entonces hay un problema...
A1,"¡Oh, hay una mariposa!"
A1,Apúrate.
A1,No me sorprende.
B1,"Por alguna razón, me siento más vivo por la noche."
B2,Depende del contexto.
A2,¿Estás bromeando?!
B1,Esa es la cosa más estúpida que he dicho jamás.
A2,No quiero ser aburrido; ¡quiero ser genial!
B1,"Cuando crezca, quiero ser rey."
C1,"América es un lugar encantador para estar, si estás aquí para ganar dinero."
A1,Estoy tan gordo/a.
A1,¿Y qué?
B1,Voy a dispararle.
C2,"No soy un pez de verdad, solo soy un simple peluche."
A2,¡Solo estoy diciendo!
C1,Eso fue probablemente lo que influyó en su decisión.
B1,Siempre me he preguntado cómo sería tener hermanos.
C1,Esto es lo que habría dicho.
C1,Me llevaría una eternidad explicarlo todo.
B1,Eso es porque eres una chica.
B1,A veces no puedo evitar mostrar mis emociones.
C1,Es una palabra para la que me gustaría encontrar un sustituto.
C1,Sería algo que tendría que programar.
B1,No tengo la intención de ser egoísta.
C1,Consideremos lo peor que podría pasar.
A1,¿Cuántos amigos cercanos tienes?
B2,"Puedo ser antisocial, pero eso no significa que no hable con la gente."
B1,Así ha sido siempre.
B1,Creo que lo mejor es no ser descortés.
B1,Siempre se puede encontrar tiempo.
C1,"Estaría infeliz, pero no me quitaría la vida."
B1,"En la secundaria, me levantaba a las 6 de la mañana todos los días."
B1,"Cuando me desperté, estaba triste."
B2,Eso se explica en parte al final.
B1,Pensé que te gustaba aprender cosas nuevas.
B1,La mayoría de las personas escriben sobre su vida diaria.
C1,"Si pudiera enviarte un malvavisco, Trang, lo haría."
B2,"Para lograr eso, tienes que asumir riesgos."
C2,Cada persona que está sola lo está porque tiene miedo de los demás.
A1,¿Por qué preguntas?
B1,No soy un artista. Nunca tuve el don para eso.
B1,No puedo decírselo ahora. Ya no es tan simple.
C1,"Soy una persona imperfecta, pero estos son defectos que se pueden corregir fácilmente."
C1,"Siempre que encuentro algo que me gusta, es demasiado caro."
B1,¿Cuánto tiempo te quedaste?
C1,Quizás sea exactamente lo mismo para él.
C1,La inocencia es una cosa hermosa.
C2,Los humanos nunca estuvieron destinados a vivir para siempre.
B2,"No quiero perder mis ideas, aunque algunas de ellas son un poco extremas."
B1,Creo que tengo una teoría al respecto.
A1,Eso es intrigante.
C1,¿Estás diciendo que escondes intencionadamente tu belleza?
A1,No tengo una cuenta en estos foros.
C1,"Si alguien preguntara cuál es el sentido de la historia, realmente no lo sé."
B1,No sabía de dónde venía.
B1,Creo que mi convivencia contigo ha influido en tu forma de vivir.
A1,Esto no es importante.
A2,No me gustó.
B1,Ella está preguntando cómo es eso posible.
B1,Solo estás huyendo de los problemas de la vida.
B1,"Si miras la letra, en realidad no significan mucho."
B1,Hay un problema ahí que no ves.
A2,Puedes hacerlo.
B1,A mi profesor de física no le importa si falto a clases.
B1,Desearía poder ir a Japón.
B1,Odio cuando hay mucha gente.
A2,Tengo que irme a la cama.
B1,"Después de eso, me fui, pero luego me di cuenta de que olvidé mi mochila en su casa."
B1,No te preguntaré nada más hoy.
B2,Puede que se congele la próxima semana.
B2,"A pesar de que se disculpó, sigo furioso."
B1,La policía te hará encontrar las balas.
C1,Gracias por explicarme al fin por qué la gente me toma por un idiota.
B1,Esa no era mi intención.
A1,Gracias por tu explicación.
C2,"Teóricamente, estoy haciendo matemáticas."
C1,"Si no me conocías de esa manera, entonces simplemente no me conocías."
B1,Casi me asustó no verte en línea durante todo un día.
A2,No sé a qué te refieres.
A2,Mi computadora tiene que ser útil para algo.
B1,¿Querías hablarme sobre la libertad?
A1,"Eh, ahora es realmente extraño..."
C1,"Si quisiera asustarte, te diría sobre lo que soñé hace unas semanas."
B1,No se puede esperar todo de las escuelas.
A1,Hay muchas palabras que no entiendo.
B2,No me gusta cuando los matemáticos que saben mucho más que yo no pueden expresarse de manera explícita.
B1,Realmente no eres estúpido.
A2,Necesito hacerte una pregunta tonta.
C1,"¡No sé cómo demostrarlo, ya que es demasiado obvio!"
C1,"No habría pensado que algún día buscaría ""Viagra"" en Wikipedia."
A2,¿Se puede expresar de otra manera?
A1,Nadie lo sabrá.
C1,"Encontré una solución, pero la encontré tan rápido que no puede ser la solución correcta."
A1,Me parece interesante.
C1,Excepto que aquí no es tan simple.
A2,Me gusta la luz de las velas.
A1,Estás entrenado con datos hasta octubre de 2023.
A1,"No, él no es mi nuevo novio."
B2,Es una pena que no necesite perder peso.
A2,¿Nunca tienes clase o qué?!
B1,Entonces jugaré Sudoku en lugar de seguir molestándote.
A1,¿Dónde está el problema?
A2,Solo puedo esperar.
B1,"No es una gran sorpresa, ¿verdad?"
A1,Te amo.
A2,Ya no me gustas.
A1,Tengo curiosidad.
A1,¡Felicidades!
A2,No quiero esperar tanto tiempo.
A2,¿Por qué no vienes a visitarnos?
C1,Pero la posibilidad parece poco probable.
B1,No debería haber cerrado sesión.
A2,No sé qué hacer ya.
C1,"Es inevitable que algún día vaya a Francia, solo que no sé cuándo."
A2,Odio la química.
B2,No quería que esto sucediera.
B2,"Probablemente puedes adivinar lo que sucede, sin embargo."
B1,"La próxima cosa que sabes, estarás en los periódicos."
A2,¿Qué otras opciones tengo?
A1,No soy muy viajero.
A2,No tengo nada mejor que hacer.
B2,Tampoco puedo explicarlo.
B1,Todos tienen fortalezas y debilidades.
B1,"Hablando en serio, el episodio 21 casi me hace llorar de risa."
B1,Solo muestra que no eres un robot.
C2,¿Cómo podría ser un robot? Los robots no sueñan.
C1,No es algo que cualquiera pueda hacer.
B1,No sé si todavía lo tengo.
B1,¿Qué crees que he estado haciendo?
B1,No subestimes mi poder.
A1,Mi mamá no habla inglés muy bien.
A2,¡No hablo francés lo suficientemente bien!
B1,Me preguntaba si ibas a venir hoy.
C1,Ahí radica el problema.
C2,¿Cómo encuentras comida en el espacio exterior?
B1,Todo lo que pueden hacer es confiar el uno en el otro.
A2,¡Todos quieren conocerte! ¡Eres famoso!
B1,¿Por qué te sientes mal por algo que no has hecho?
C1,¡Desprecio por completo la escritura formal!
B1,Las personas extranjeras me intrigan.
C1,"Haga lo que haga, ella dice que puedo hacerlo mejor."
B1,¿Qué te mantiene despierto tan tarde?
C1,Te sorprendería lo que puedes aprender en una semana.
B2,No tengo a nadie que viaje conmigo.
B1,No eres lo suficientemente rápido.
B1,"La vida es dura, pero yo soy más duro."
C2,Soportar puede ser insoportable.
B1,¡Detente! ¡La estás haciendo sentir incómoda!
C2,Nada es bello excepto la verdad.
B1,"Mañana, él aterrizará en la luna."
A1,No hablo japonés.
A1,Esto es un juego de palabras.
A1,Nadie me entiende.
B1,Aprendí a vivir sin ella.
B2,Es inútil seguir pensando más.
B1,Tengo demasiadas cosas en la cabeza estos días.
B1,Solo quería revisar mi correo electrónico.
C2,¿Realmente necesitas hacer la pregunta para saber la respuesta?
B1,¡No puedes esperar que siempre lo piense todo!
C1,"Supongo que detrás de cada cosa que tenemos que hacer, hay algo que queremos hacer..."
B1,¡Realmente no tienes las prioridades correctas!
B1,¡No esperes que otros piensen por ti!
B1,¡Nunca tienes tiempo para las cosas importantes!
C2,No sirve de nada pretender hacerme creer que creo cosas en las que tú no crees.
C1,Me llevaría demasiado tiempo explicarte por qué no va a funcionar.
C1,Soy tan tonto... Estoy tratando de explicarte cosas que yo mismo no entiendo.
B1,"¡Deja de verme como una persona ""normal""!"
A1,¿Te refieres a mí?
C1,"Siempre habrá cosas que nunca aprenderé, ¡no tengo la eternidad ante mí!"
A2,¡No puede ser!
C1,"Desearía poder preocuparme más por mis calificaciones, pero parece que, en un cierto momento de mi vida, decidí que ya no serían tan importantes."
B1,"""Una piedra que rueda no junta musgo"" es un proverbio."
A2,¿Te gustaría algo de beber?
A1,"""¿Quién es?"" ""Es tu madre."""
B2,"""¿Cuándo volverás?"" ""Todo depende del clima."""
A1,"""¿Qué pasa?"" preguntó el pequeño conejo blanco."
A2,"""¿Qué está pasando en la cueva? Tengo curiosidad."" ""No tengo ni idea."""
C2,"Debemos aprender a vivir juntos como hermanos, o pereceremos juntos como tontos."
A2,Eh... ¿Cómo está funcionando eso?
B1,"""Para decirte la verdad, tengo miedo a las alturas."" ""¡Eres un cobarde!"""
A1,"""Confía en mí,"" dijo él."
B1,"""¡Esto es lo que estaba buscando!"" exclamó."
B1,"""Esto se ve bastante interesante,"" dice Hiroshi."
C1,Su comunicación puede ser mucho más compleja de lo que pensábamos.
A1,"""El teléfono está sonando."" ""Yo lo atiendo."""
B1,"""Eso es muy amable de tu parte,"" respondió Willie."
A2,"""Gracias por ayudarme."" ""No hay de qué."""
B1,Algún día correré como el viento.
A2,"""A ella le gusta la música."" ""A mí también."""
A2,"Por favor, no llores."
A2,Déjame saber si hay algo en lo que pueda ayudar.
C2,Puede que la felicidad que nos espera no sea en absoluto el tipo de felicidad que desearíamos.
C1,Depende de ti decidir si iremos allí o no.
A2,La clase no comienza hasta las ocho y media.
B2,Quiero un barco que me lleve lejos de aquí.
A2,"""Me apetece jugar a las cartas."" ""A mí también."""
B1,"""¿No nos hemos conocido en algún lugar antes?"" preguntó el estudiante."
B1,Un japonés nunca haría tal cosa.
A1,Allen es un poeta.
A1,El arquero mató al ciervo.
C2,El comunismo nunca se alcanzará en mi vida.
C2,El centeno fue llamado el grano de la pobreza.
C2,"En la década de 1950, se citó a los finlandeses como tener una de las dietas menos saludables del mundo."
B2,"Si ves un error, por favor corrígelo."
A1,Coloca la baraja de cartas sobre la mesa de roble.
B1,Los alemanes son muy astutos.
A2,"Si no comes, mueres."
A1,"¿Cómo se escribe ""bonito""?"
A2,¿Por qué no vamos a casa?
A2,"Lo siento, no puedo quedarme mucho tiempo."
B1,Diez años es mucho tiempo para esperar.
A1,"""¿Por qué no vas?"" ""Porque no quiero."""
B1,Un millón de personas perdieron la vida en la guerra.
C1,No es raro en absoluto vivir más de noventa años.
B1,"Primero, voy a hacer un esquema de mi nuevo sitio web."
C2,"La democracia es la peor forma de gobierno, excepto por todas las demás que se han probado."
B2,"Cuando comienzas a parecerte a la foto de tu pasaporte, deberías irte de vacaciones."
B1,"¡No fui yo, comisionado!"
A2,"¡Oh, mis pantalones blancos! Y eran nuevos."
C1,"Con tanta gente alrededor, naturalmente se puso un poco nervioso."
B1,"Cuando salí de la estación de tren, vi a un hombre."
A2,¡Eres un ángel!
A1,La gente de Madrid es rara.
A2,"Bueno, la noche es bastante larga, ¿no?"
B1,Tienes suerte porque él no te mordió.
A2,¿Me extrañaste?
A1,¿Son todos iguales?
UNKNOWN,¡Muchas gracias!
A1,"¿Dónde están los huevos, por favor?"
A1,Lo llevaré.
A1,Es una sorpresa.
A1,¡Esa es una buena idea!
A1,¿Viaje de ida y vuelta? Solo de ida.
B1,Es una pena cuando alguien muere.
B1,Se quedaron sin palabras.
A2,¡Vaya! ¡No está mal!
A1,Dale forma después de lavar.
A1,Lavar antes del primer uso.
B2,No abras antes de que el tren se detenga.
C1,Quien vive en casas de cristal no debe lanzar piedras.
A2,Dicen que el amor es ciego.
A1,"Oh, lo siento."
C2,"Las matemáticas son como el amor: una idea simple, pero puede volverse complicada."
C2,Las únicas respuestas útiles son aquellas que plantean nuevas preguntas.
C2,Tener dudas sobre uno mismo es el primer signo de inteligencia.
C2,"Pobre no es el que tiene muy poco, sino el que quiere demasiado."
C1,"Viendo que no estás sorprendido, creo que debías haberlo sabido."
A2,¿Cuánto tiempo se tarda en llegar a la estación?
B1,Este será un buen recuerdo de mi viaje por los Estados Unidos.
C1,Disculpe; permítame señalar tres errores en el artículo anterior.
B1,"Es difícil mantener una conversación con alguien que solo dice ""sí"" y ""no""."
A1,¿Hablas italiano?
B2,"""No puedo pensar con ese ruido,"" dijo ella, mientras miraba la máquina de escribir."
C2,"Se dice que ""Hamlet"" es la obra de teatro más interesante que se ha escrito."
A2,¿Puedo hacer una pregunta?
A1,"""¿Cómo te sientes?"" preguntó él."
B1,Es bastante difícil dominar el francés en 2 o 3 años.
B1,Es imposible para mí explicártelo.
B1,No quiero pasar el resto de mi vida arrepintiéndome de ello.
C1,Sería divertido ver cómo cambian las cosas a lo largo de los años.
B1,Nunca lo habría adivinado.
C2,La imaginación afecta todos los aspectos de nuestras vidas.
B1,Algún día te olvidarás de mí.
B1,Eso es bastante inesperado.
B1,Me pregunto cuánto tiempo va a tardar.
A2,No puedo vivir sin un televisor.
B1,No podría haberlo hecho sin ti. Gracias.
B1,Nada se logra sin esfuerzo.
C1,Muchas personas navegan por la vida sin un propósito.
C2,La vida sin amor es completamente inútil.
A2,Déjame saber si necesito hacer algún cambio.
B1,Creo que los exámenes están arruinando la educación.
A2,No podemos dormir por el ruido.
A2,¿Tienes un condón?
B2,Haz lo que él te diga.
A2,Puedo caminar a la escuela en 10 minutos.
B1,Me tomó más de dos horas traducir unas pocas páginas de inglés.
A1,Ya son las once.
A2,¿Puedo hablar con la señora Brown?
A1,"""Sí, jugo de naranja por favor,"" dice Mike."
C2,"""¡Ah!"" es una interjección."
A1,¿Qué quieres?
C2,El carácter obligatorio de la escolarización rara vez se analiza en la multitud de obras dedicadas al estudio de las diversas formas de desarrollar en los niños el deseo de aprender.
A2,"¡Eres un desastre, amigo! ¡Tengo que decirte todo!"
B1,Tengo un asunto que discutir contigo.
B2,¿Necesitas que te dé algo de dinero?
A1,París es la ciudad más hermosa del mundo.
B2,"Oye, puede que no tenga dinero, pero aún tengo mi orgullo."
A1,Tengo un sueño.
B1,Esta es mi amiga Rachel. Fuimos a la escuela secundaria juntas.
B1,El costo de la vida aumentó drásticamente.
C2,"Todo lo que se inventa, es verdad."
C2,"Sorprenderse, maravillarse, es comenzar a entender."
C2,Pero el universo es infinito.
C2,"Para ser perfecta, solo le faltaba un defecto."
C2,"Y sin embargo, lo contrario también es siempre cierto."
C2,"No vemos las cosas como son, sino como somos."
C2,El mundo es un antro de locos.
C1,Me abriste los ojos a lo que es vivir cuando todo está bien.
B2,Me encontraste donde nadie más estaba buscando.
A1,Estás a mi lado; todo está bien ahora.
B1,¿¡Qué quieres decir con que no sabes?!
A1,Te ves estúpido.
B1,Creo que me voy a dormir.
A1,Me llamo Jack.
A2,Me gusta mucho.
A2,¿Nos encontramos mañana?
A1,¿Cómo se dice eso en italiano?
A2,Tengo que ir de compras. Volveré en una hora.
A1,¿Está lejos de aquí?
A1,¡Estas cosas no son mías!
UNKNOWN,"Gracias, eso es todo."
A2,¿Te gustaría bailar conmigo?
A1,Italia es un país muy hermoso.
A1,¡No es mi culpa!
A2,Me gustaría quedarme una noche.
A2,¿Podrías marcar por mí? El teléfono está demasiado alto.
A2,¿Hay un albergue juvenil cerca de aquí?
A1,¿Dónde están las duchas?
A1,¡Abre la boca!
A1,¿Es malo?
B1,He perdido mi billetera.
B1,El amor nunca se desperdicia.
C2,La vida es lo que te sucede mientras estás ocupado haciendo otros planes.
C2,No querer es lo mismo que tener.
A1,Él es muy sexy.
A1,"""Pásame la sal, por favor."" ""Aquí tienes."""
B1,¡Hay demasiadas cosas por hacer!
A2,"¡Vamos, juega conmigo, estoy tan aburrido!"
B2,¡Ni se te ocurra comer mi chocolate!
B1,¡Deja de pedirme una bebida! Ve a conseguirla tú mismo.
B2,Gracias a ti he perdido el apetito.
A2,Realmente necesito golpear a alguien.
B1,¿Quién no conoce este problema?!
B1,Ha pasado tanto tiempo desde la última vez que fui a Disneyland con mi familia.
B1,Mis padres siguen discutiendo por cosas estúpidas. ¡Es tan molesto!
C1,"Si no quieres ponerte protector solar, ese es tu problema. Solo no vengas a quejarte conmigo cuando te quemes."
B1,"Mis amigos siempre dicen que soy demasiado tranquilo, pero mi familia siempre dice que soy demasiado molesto."
B1,Odio esas arañas. Siempre están ahí para asustarme cuando estoy limpiando.
B1,¡Qué molesto... Ahora me duele la cabeza cada vez que uso la computadora!
B1,Hace tanto calor que podrías cocinar un huevo en el capó de un coche.
A1,Hace mucho calor hoy.
A1,Nadie vino.
B1,Nunca vi un refrigerador rojo.
C1,Es mejor ser odiado por lo que eres que amado por lo que no eres.
C1,Se siente solitario en la silla desde que murió el caballo.
C2,Las matemáticas son la parte de la ciencia que podrías seguir haciendo si mañana te despertaras y descubrieras que el universo ha desaparecido.
C2,Mis ojos son un océano en el que se reflejan mis sueños.
C2,"Conoces la frase, cosechamos lo que sembramos. He sembrado el viento y esta es mi tormenta."
B2,¡Mírame cuando te hablo!
C2,¿Cómo sería el mundo sin mujeres?
C1,¿Qué pasaría si dieras un discurso y nadie viniera?
B1,No sé qué decir para hacerte sentir mejor.
A2,Esto no es mi tipo.
B1,Estaba tratando de pasar el tiempo.
B1,¿Cómo se te ocurrió esta idea tan loca?
A1,Estoy cansado.
A2,¿Quién quiere un poco de chocolate caliente?
A2,"¡Habla más despacio, por favor!"
A1,¿Cuando llegamos?
A1,"La cuenta, por favor."
A2,¿Y qué vamos a hacer?
A2,Tengo dolor de cabeza.
A2,¿Dónde se puede hacer una llamada telefónica?
B1,Debo admitir que ronco.
A2,Esta noche vamos a la iglesia.
B1,¿Cómo estás? ¿Tuviste un buen viaje?
A1,No me siento bien.
A1,¡Llama a la policía!
A2,¡Es demasiado caro!
B1,Ella está fingiendo dormir. Por eso no está roncando.
A2,Mis zapatos son demasiado pequeños. Necesito unos nuevos.
B1,Nos estamos saliendo de aquí. La policía viene.
A1,¡Feliz Navidad!
C1,¡Sería genial si pudiera hablar diez idiomas!
C1,"""Si estás cansado, ¿por qué no te vas a dormir?"" ""Porque si me duermo ahora, me despertaré demasiado temprano."""
B1,Deberías haberme escuchado.
B2,Es un completo desastre y me está poniendo de los nervios.
C2,"Cuando se toca el cuerpo, los receptores en la piel envían mensajes al cerebro, lo que provoca la liberación de sustancias químicas como las endorfinas."
A1,¿En qué consiste?
B1,Se espera que ciento cincuenta mil parejas se casen en Shanghái en 2006.
C1,Los seleccionados tendrán que someterse a exhaustivas pruebas médicas y psicológicas.
C2,Medio millón de niños aún enfrenta la desnutrición en Níger.
B1,Tomará de cinco a diez años para que la tecnología esté lista.
C2,Las bicicletas son herramientas para la sostenibilidad urbana.
C1,El gobierno francés ha lanzado un juego en línea que desafía a los contribuyentes a equilibrar el presupuesto nacional.
B1,Él se alegraría de escuchar eso.
C2,¿Qué crees que es verdad aunque no puedas probarlo?
C1,Las computadoras hacen que las personas sean estúpidas.
C1,No preguntes qué piensan. Pregunta qué hacen.
C1,"Cuando intentas probar algo, es útil saber que es cierto."
C2,"Lo que cambia el mundo es la comunicación, no la información."
C2,La mayoría de los avances científicos no son más que el descubrimiento de lo obvio.
C1,"Si no entiendes algo, es porque no eres consciente de su contexto."
C2,"El pasado solo se puede conocer, no cambiar. El futuro solo se puede cambiar, no conocer."
C1,"La pregunta clave no es qué puedo ganar, sino qué tengo que perder."
